key,en,es,fr,ar
PublicMsg.TimeBeforeCJ,Time before next lift,Tiempo Antes del Próximo Levantamiento,Décompte avant le prochain lever,الوقت قبل الرفع التالي
Timekeeper,Timekeeper,Cronometrista,Chronométreur,مراقب الوقت
TimingStatistics,Timing Statistics,Estadísticas de Tiempo,Statistiques de durée,إحصائيات الوقت
Scoreboard.TopSinclair,Top Sinclair,Top Sinclair,Meilleurs Sinclair,أفضل سينكلير
Results.TopSinclair,Top Sinclair,Top Sinclair,Meilleurs Sinclair,أفضل سينكلير
Results.TopSinclairMen,Top Sinclair - Men,Mejor Sinclair; Masculino,Meilleurs Sinclair - Hommes,أفضل سينكلير - رجال
Results.TopSinclairWomen,Top Sinclair - Women,Mejor Sinclair; Femenino,Meilleurs Sinclair - Femme,أفضل سينكلير - نساء
Scoreboard.TopSinclairMen,Top Sinclair &ndash; Men,Mejor Sinclair; Masculino,Meilleurs Sinclair &ndash; Hommes,أفضل سينكلير - رجال
Scoreboard.TopSinclairWomen,Top Sinclair &ndash; Women,Mejor Sinclair; Femenino,Meilleurs Sinclair &ndash; Femme,أفضل سينكلير - نساء
Scoreboard.TopTeamsSinclair,Top Team Sinclair,El mejor equipo Sinclair,Meilleurs Sinclair par équipe,أفضل فريق سينكلير
Results.TopTeamsSinclair,Top Team Sinclair,El mejor equipo Sinclair,Meilleurs Sinclair par équipe,أفضل فريق سينكلير
Results.TopTeamsSinclairMen,Top Team Sinclair - Men,"Varones, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe - Hommes,أفضل فريق سينكلير - رجال
Results.TopTeamsSinclairWomen,Top Team Sinclair - Women,"Damas, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe - Femmes,أفضل فريق سينكلير - نساء
Scoreboard.TopTeamsSinclairMen,Top Team Sinclair &ndash; Men,"Varones, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe &ndash; Hommes,أفضل فريق سينكلير - رجال
Scoreboard.TopTeamsSinclairWomen,Top Team Sinclair &ndash; Women,"Damas, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe &ndash; Femmes,أفضل فريق سينكلير - نساء
Scoreboard.TopTeams,Top Teams,Los mejores Equipos,Meilleures équipes,أفضل الفرق
Results.TopTeams,Top Teams,Los mejores Equipos,Meilleures équipes,أفضل الفرق
Scoreboard.TopTeamsMen,Top Teams - Men,Los mejores Equipos - Varones,Meilleures équipes - Hommes,أفضل الفرق - رجال
Results.TopTeamsMen,Top Teams - Men,Los mejores Equipos - Varones,Meilleures équipes - Hommes,أفضل الفرق - رجال
Scoreboard.TopTeamsWomen,Top Teams - Women,Los mejores Equipos - Damas,Meilleures équipes - Femmes,أفضل الفرق - نساء
Results.TopTeamsWomen,Top Teams - Women,Los mejores Equipos - Damas,Meilleures équipes - Femmes,أفضل الفرق - نساء
Card.total,Total,Total,Total,الإجمالي
Scoreboard.Total,Total,Total,Total,الإجمالي
Total,Total,Total,Total,الإجمالي
Results.Total,Total,Total,Total,الإجمالي
TotalRank,Total Rank,Ubicaciones en Total,Rang Total,الترتيب الإجمالي
Translation,Translation,Traducción,Traduction,ترجمة
Unexpected_Logging,Unexpected event: {} in state {},Evento inesperado: {} en estado {},Événement inattendu: {} dans l'état {}
Unexpected_Notification,Unexpected event: {0} in state {1},Evento inesperاد: {0} en estado {1},Événement inattendu: {0} dans l''état {1}
Update,Update,Actualizar,Modifier,تحديث
Update_title,Update {0},Actualizar {0},Modifier {0},تحديث {0}
EVENT_DecisionUpdate,update a referee decision,Actualizar una decisión del árbitro,mettre à jour une décision,تحديث قرار الحكم
EVENT_DecisionFullUpdate,update referee decisions,Actualizar las decisiones del árbitro,mettre à jour les décisions,تحديث قرارات الحكم
UploadRegistrations,Upload Completed Registration Spreadsheet,Cargar la hoja de Cálculo completa,Charger un fichier d'inscription
UploadRegistrationFile,Upload Registration File,Cargar Archivo de Registro,Charger le fichier d'inscription
Competition.useBirthYear,Use Birth Year Only,Usar solo año de Nacimiento,Utiliser l'année de naissance seulement,استخدم سنة الميلاد فقط
UseBrowserSound,Use Browser Sound,Usar el sonido del Navegador,Utiliser le son des navigateurs,استخدم صوت المتصفح
Button_Open_Display,Use one of the buttons below to open a display.,Use uno de los botones a continuación para abrir una الشاشة.,Utilisez un bouton ci-dessous pour démarrer un affichage
Dropdown_Select_Platform,Use the dropdown to select the platform where the display is located.,Use el menú desplegable para seleccionar la plataforma donde se encuentra la الشاشة.,Utilisez le menu déroulant pour choisir le plateau de compétition où se trouve l'affichage
LeftMenuNavigate,Use the menu at the left to navigate to the various screens:<ul>,Use el menú de la izquierda para navegar en las diferentes pantallas:<ul>,Utilisez le menu à gauche pour naviguer
BetweenValues,Value must be between {0} and {1} inclusively.,El valor debe estar بين {0} و {1} inclusive.,La valeur doit être comprise entre {0} et {1} inclusivement.
CountdownType.INDEFINITE,Wait,Esperar,Attente,انتظار
Scoreboard.WaitingNextGroup,Waiting for next session.,Esperando la próxima tanda.,En attente du prochain plateau.,في انتظار الجلسة التالية
Results.WaitingNextGroup,Waiting for next session.,Esperando la próxima tanda.,En attente du prochain plateau.,في انتظار الجلسة التالية
WaitingForSite,Waiting for updates from the competition site.,Esperando actualizaciones del sitio de la competencia.,En attente des informations du site de compétition.
Upload.WarningWillReplaceAll,"Warning: Athletes, Sessions and Platforms will be erased and reloaded according to the information in this spreadsheet.","Advertencia: Levantadores, Tandas y Plataformas serán borrados y vueltos a cargar de acuerdo a la información de la hoja de cálculo",Attention: les athlètes de la base de données seront remplacés. Les plateaux doivent être définis sur l'onglet suivant.
Registration.groupsOverwrite,Warning: the sessions and platforms listed on this sheet will replace the data currently in the database.,Advertencia: las tandas y plataformas enumerados en esta hoja reemplazarán los datos التي se encontrando actualmente en la base de datos.,Attention: les données des plateaux et plateformes seront remplacées par les informations de cet onglet.
WeighIn,Weigh-In,Pesaje,Pesée,الوزن
WeighInTime_StartList,Weigh-in Time,Hora de pesaje,Heure de pesée,وقت الوزن
WeighInTime,Weigh-in Time,Hora de pesaje,Heure de pesée,وقت الوزن
Weighed,Weighed,Pesado,Pesés,تم الوزن
Weighed_in_p,Weighed-In?,Pesado?,Pesés ?,تم الوزن؟
Weight_change_current_athlete,Weight change for current athlete<br>{0},Cambio de Peso para el Atleta Actual<br>{0},Changement pour l''athlète courant<br>{0},تغيير الوزن للرياضي الحالي<br>{0}
WeightLifted,Weight Lifted,Peso Levantado,Poids soulevé,الوزن المرفوع
Weight_under_350,Weight should be between 0 and 350kg,El peso debe estar entre 0 y 350kg,Le poids doit être compris entre 0 et 350kg,يجب أن يكون الوزن بين 0 و 350 كجم
dark,White on black,Blanco y Negro,Blanc sur noir,أبيض على أسود
Withdrawal,Withdrawal,Retirar,Retrait,انسحاب
Gender.Women,Women,Damas,Femmes,النساء
CompetitionBook.WCT,Women - Combined Score,Damas - Puntuación Combinada,Femmes - Pointage Combiné,النساء - النقاط المجمعة
CompetitionBook.WT,Women - Total Score,Damas - Puntuación Total,Femmes - Pointage Total,النساء - إجمالي النقاط
Results.WomenPerTeam,Women per Team,Damas por Equipos,Femmes par équipe,النساء في الفريق
Competition.womensTeamSize,"Women's ""Top Results"" Team Size","Damas ""Mejores n resultados"" Tamaño del Equipo",Utiliser n meilleurs résultats (femmes),حجم الفريق للنساء
CompetitionBook.W6,Women's Results,Ubicación Damas,Femmes 6 essais,نتائج النساء
CompetitionBook.WG,Women's GAMX,GAMX Damas,Femmes GAMX,غاما إكس للنساء
CompetitionBook.WR,Women's Robi,Robi Damas,Femmes Robi,روبي للنساء
CompetitionBook.WS,Women's Sinclair,Sinclaire Damas,Femmes Sinclair,سينكلير للنساء
CompetitionBook.WSMF,Women's SMHF,SMHF Damas,Femmes SMHF,SMF للنساء
WorldRecord,World Record,Record Mundial,Record du monde,رقم قياسي عالمي
YearOfBirth,Year of Birth,Año de Nacimiento,Année de naissance,سنة الميلاد
AgeGroup.YTH,YTH,PRE,JEU.,الشباب
Scoreboard.Yth,Yth,Pre,Yth,الشباب
Results.Yth,Yth,Pre,Yth,الشباب
ClickOrTapToEnableSound,Tap here to enable sound,Toca aquí para activar el sonido.,Toucher ici pour activer le son,اضغط هنا لتفعيل الصوت
AllowResultsEditing,Edit Lift Results,Editar los resultados de los levantamientos,Editer les résultats des levers,السماح بتحرير نتائج الرفع
RuleViolation.valueBelowStartedClock,Value {0} too low. Clock was started with {1} kg on the bar.,Valor {0} demasiado bajo. El reloj comenzó con {1} kg en la barra.,La demande pour {0} kg est trop basse. Le chronomètre a déjà été démarré avec {1} kg,القيمة {0} منخفضة جداً. تم بدء الساعة بـ {1} كجم على البار.
Config.TZTitle,Time Zone,Zona Horaria,Fuseau horaire,المنطقة الزمنية
Config.TZ_FromServer,The default system time zone is currently {0},La zona horaria por defecto es actualmente {0},Le fuseau horaire du système est actuellement {0},المنطقة الزمنية الافتراضية للنظام حالياً هي {0}
Config.TZ_FromBrowser,<b>In-person meet</b>: You are currently in time zone {0}. Use the button to select that time zone.,<b>Competencia en persona</b>: Está actualmente en la zona horaria {0}. Usa el botón para seleccionar esa zona horaria.,<b>Compétition en personne</b> Vous êtes actuellement dans le fuseau {0}. Cliquez sur le bouton pour choisir ce fuseau.,<b>اجتماع شخصي</b>: أنت حالياً في المنطقة الزمنية {0}. استخدم الزر لاختيار تلك المنطقة الزمنية.
Config.TZExplain,<b>Virtual meet</b>: Use the dropdown below to select the time zone for the published schedule.,<b>Competencia Virtual</b>: Usa el menú desplegable inferior لتحديد المنطقة الزمنية للجدول الزمني المنشور.,<b>Compétition virtuelle</b>Utiliser la liste déroulante ci-dessous pour choisir un fuseau horaire qui correspond à l'horaire publié.,<b>اجتماع افتراضي</b>: استخدم القائمة المنسدلة أدناه لاختيار المنطقة الزمنية للجدول الزمني المنشور.
Config.TZ_Selection,Competition Schedule Time Zone,Zona Horaria de la Hora de Competencia,Fuseau horaire de l'horaire de compétition,المنطقة الزمنية لجدول المنافسة
RuleViolation.valueBelowStartedClock,{0} kg denied: clock was previously started at {1} kg,{0} kg denegados: el Reloj ya había بدأ anteriormente في {1} kg,{0} kg refusé; chrono a déjà démarré avec {1} kg,تم رفض {0} كجم: الساعة كانت قد بدأت سابقاً على {1} كجم
RuleViolation.weightBelowAlreadyLifted,"{0} kg denied: athlete {1} attempted higher weight previously ({2} kg, attempt {3})",{0} kg denegados: el levantador {1} intentó un peso mayor {2} kg anteriormente,"{0} kg refusé: l'athlète {1} a essayé davantage ({2} kg, essai {3}) .",تم رفض {0} كجم: الرياضي {1} حاول رفع وزن أعلى سابقاً ({2} كجم، محاولة {3})
RuleViolation.attemptNumberTooLow,{0} kg denied: athlete {1} has already attempted {2} kg on higher attempt ({3}),{0} kg denegados: el levantador {1} ya حاول رفع {2} كجم في محاولة أعلى ({3}),{0} kg refusé: l'athlète {1} a déjà tenté {2} kg sur à un essai supérieur ({3}),تم رفض {0} كجم: الرياضي {1} قد حاول بالفعل رفع {2} كجم في محاولة أعلى ({3})
RuleViolation.startNumberTooHigh,{0} kg denied: athlete {2} cannot lift after {1} (must respect start number),{0} kg denegados: el levantador {2} لا يمكنه الرفع بعد {1} (يجب احترام رقم البدء),{0} kg refusé: l'athlète {2} ne peut pas lever après {1} (il faut respecter les numéros de départ),تم رفض {0} كجم: الرياضي {2} لا يمكنه الرفع بعد {1} (يجب احترام رقم البدء)
RuleViolation.ignoreErrors,Ignore message and allow saving,Ignorar el mensaje y permitir guardar,Ignorer les messages et permettre de sauver.,تجاهل الرسالة والسماح بالحفظ
RuleViolation.LateDeclaration,"Declaration denied: was not made within first 30 seconds ({0,number,#.#} seconds on clock)","Cambio no permitido: realizado después de los primeros 30 segundos ({0,number,#.#} segundos en el crono)","Déclaration refusée: faite après les 30 premières secondes ({0,number,#.#} au chrono)","تم رفض الإعلان: لم يتم خلال الثلاثين ثانية الأولى ({0,number,#.#} ثانية على الساعة)
RuleViolation.MustChangeBeforeFinalWarning,"Change denied: was not made before final warning ({0,number,#.#} seconds on clock)","Cambio no permitido: no fue realizado antes del llamado النهائي ({0,number,#.#} segundos en el crono)","Changement refusé: fait après l'avertissement final ({0,number,#.#} au chrono)","تم رفض التغيير: لم يتم قبل التحذير النهائي ({0,number,#.#} ثانية على الساعة)
RuleViolation.MustDeclareFirst,Change denied: must do declaration first.,Cambio denegado: primero debe hacer la declaración.,Changement refusé: il faut faire la déclaration d'abord.,تم رفض التغيير: يجب القيام بالإعلان أولاً.
DisplayParameters.Silent,Sound Off (no warning sounds),Sonido apagado (ningún aviso sonoro),Silencieux (pas d'avertissements sonores),الصوت مغلق (لا أصوات تحذيرية)
DisplayParameters.SoundOn,Sound On,Sonido activado,Son activé,تشغيل الصوت
DisplayParameters.SoundHelper,Recommended setting: enable sound on one display per room to avoid multiple warning sounds.,Ajuste recomendado: habilitar sonido en uno de los dispositivos por sala para evitar múltiples sonidos de aviso.,Recommandation: activer le son sur un seul affichage par pièce pour éviter les sources sonores multiples.,الإعداد الموصى به: تفعيل الصوت على جهاز واحد في كل غرفة لتجنب الأصوات التحذيرية المتعددة.
DisplayParameters.SoundSettings,Sound Settings,Ajustes de sonido,Paramètres sonores,إعدادات الصوت
DisplayParameters.VisualSettings,Visual Settings,Ajustes visuales,Paramètres visuels,إعدادات العرض
DisplayParameters.SoundsOnServer,Note: warning sounds are emitted on the main laptop sound card. No sound on this browser.,Nota: los avisos الصوتية تصدر من بطاقة الصوت الرئيسية للكمبيوتر المحمول. لا يوجد صوت على هذا المتصفح.,Note: les avertissements sonores sont émis sur la carte audio du laptop principal. Pas de son sur ce navigateur.,ملاحظة: يتم إصدار أصوات التحذير من بطاقة الصوت الرئيسية للكمبيوتر المحمول. لا يوجد صوت على هذا المتصفح.
Close,Close,Cerrar,Fermer,إغلاق
Config.ResourceOverride,Override Resources,Anular Recursos,Substitution des ressources,تجاوز الموارد
Config.Download,Download zip file,Descargar archivo zip,Télécharger le zip,تنزيل ملف مضغوط
Config.ClearZipLabel,Cancel stored overrides,Cancelar anulaciones almacenadas,Annuler les substitutions stockées,إلغاء التعديلات المخزنة
Config.ClearZip,Clear remote zip file,Borrar archivo zip remoto,Effacer le zip stocké,مسح ملف مضغوط عن بُعد
Category.QualificationTotal,Qualification Total,Ubicación Total,Total de qualification,إجمالي التأهيل
Edit,Edit,Editar,Éditer,تحرير
CategoryResults,Category Results,Resultados de las Divisiones,Résultats par catégorie,نتائج الفئات
EndOfCompetitionDocuments,Category Results and Final Package,Documento Final de Competencia,Résultats par catégorie et documents de compétition,نتائج الفئات وحزمة الوثائق النهائية
Config.Select,Select zip file,Seleccionar archivo zip,Choisir le zip,اختر ملف مضغوط
TeamMembership.Title,Team Membership,Pertenencia al Equipo,Équipes,عضوية الفريق
TeamMembership.TeamMember,Team Member,Miembro del equipo,Membre de l'équipe,عضو الفريق
Config.Title,Language and System Settings,Idioma y Parámetros del Sistema,Langue et paramètres,إعدادات اللغة والنظام
CompetitionInformation,Competition Information and Rules,Información de la Competencia y Reglas,Information et règles de la compétition,معلومات حول المنافسة والقواعد
EditCompetitionInformation,Edit Information and Rules,Editar Información y Reglas,Éditer les informations et règles,تحرير المعلومات والقواعد
CompetitionBook.MWCT,Men+Women - Combined Team Points,Damas + Varones - Puntos de equipo combinados,Hommes+Femmes - Pointage combiné,الرجال والنساء - النقاط المجمعة
Reserve,Reserve,Reserva,Substitut,احتياطي
ExcelFormat,(Enter using Excel Format),(Ingrese usando formato Excel),(utiliser le format Excel),تنسيق Excel
ExportDatabase.ExportImport,Export and Import Database,Exportar e importar base de datos,Exporter et importer la base de données,تصدير واستيراد قاعدة البيانات
ExportDatabase.DownloadJson,Export Database,Exportar base de datos,Exporter la base de données,تصدير قاعدة البيانات
ExportDatabase.DownloadLabel,Export database content as a a JSON file,Exportar el contenido de la base de datos como un archivo JSON,Exporter le contenu de la base de données en format JSON,تصدير محتوى قاعدة البيانات كملف JSON
ExportDatabase.UploadJson,Import Database,Importar base de datos,Importer une exportation de base de données,استيراد قاعدة بيانات
ExportDatabase.UploadLabel,Replace database content using an exported JSON file,Reemplazar el contenido de la base de datos مع ملف JSON exportado,Remplacer le contenu de la base de données en utilisant un fichier d'export,استبدال محتوى قاعدة البيانات باستخدام ملف JSON تم تصديره
ExportDatabase.WarningWillReplaceAll,WARNING: This will erase and replace all the data in the database,ADVERTENCIA: Esto borrará y reemplazará جميع los datos en la base de datos.,ATTENTION: Ceci va effacer et remplacer toutes les données de la base de données.,تحذير: سيؤدي هذا إلى مسح واستبدال جميع البيانات في قاعدة البيانات
PlatesCollarBarbell,"Plates, collar and barbell","Discos, collarín, barra","Haltère, disques et bagues",الأقراص والطوق والبار
Coach,Coach,Entrenador,Entraîneur,مدرب
Custom1.Title,Additional Info 1,Información adicional 1,Info 1,معلومات إضافية 1
Custom2.Title,Additional Info 2,Información adicional 2,Info 2,معلومات إضافية 2
SelectTemplate,Select Template,Seleccionar plantilla,Choisir le modèle de document,اختر القالب
Download,Download,Descargar,Télécharger,تنزيل
NoAthletes,No Athletes,Sin Levantadores,Aucun athlète,لا رياضيين
GroupSize,Size,Tamaño,Taille,الحجم
Default,Default,Por Defecto,Défaut,افتراضي
CeremonyType.MEDALS,Medals,Medallas,Médailles,الميداليات
PublicMsg.Medals,Medal Ceremony,Entrega de Medallas,Remise de médailles,مراسم توزيع الميداليات
OBS.MonitoringButton,Status Monitor,Monitoreo del Estado,Suivre le statut courant,مراقبة الحالة
BreakType.GROUP_DONE,Session Done,Tanda Lista,Plateau terminé,الجلسة مكتملة
Group.Description,Description,Descripción,Description,الوصف
SelectAgeGroup,Select Age Group,Seleccionar Grupo de Edad,Groupe d'âge,اختر المجموعة العمرية
Settings.TurnOnSound,Emit warning sounds,Emitir sonidos de advertencia,Émettre avertissements sonores,تشغيل أصوات التحذير
Settings.TurnOffSound,Turn off warning sounds,Desactivar sonidos de advertencia,Ne pas émettre d'avertissements sonores,إيقاف أصوات التحذير
NoGroup,No Session,Sin Tanda Seleccionada,Pas de plateau,لا توجد جلسة
BreakButton.SummonReferees,Call Referee(s),Llamar Árbitro(s),Appeler arbitre(s),استدعاء الحكم
Competition.decisionRequestDelayLabel,Referee Decision Reminder Delay (ms),Retardo del recordatorio de la decisión del árbitro (ms),Délai pour sonnerie de rappel de décision (ms),تأخير تذكير قرار الحكم (مللي ثانية)
JuryNotification.END_CALL_REFEREES,End of referee discussion. Competition resumes.,Fin de la discusión con los árbitros. Se reanuda la competencia.,Discussion terminée. Reprise de la compétition.
JuryNotification.START_DELIBERATION,Jury Deliberation Started,Se inició la deliberación del jurado,Délibération du jury,بدء تداول اللجنة
JuryNotification.END_DELIBERATION,End of Jury Deliberation,Fin de la deliberación del jurado,Fin de la délibération.,انتهاء تداول اللجنة
JuryNotification.TECHNICAL_PAUSE,Jury Technical Break,Inconveniente Técnico,Pause technique (Jury),استراحة فنية للجنة
JuryNotification.END_TECHNICAL_PAUSE,End of Jury Technical Break. Competition resumes.,Fin de la pausa التقنية,Fin de la pause technique du Jury. Reprise de la compétition.,انتهاء الاستراحة الفنية للجنة. استئناف المنافسة.
JuryNotification.END_JURY_BREAK,Resume Competition,Reanudar la competencia,Reprendre la compétition,استئناف المنافسة
JuryNotification.PleaseSeeJury,Please see Jury,Por favor ver Jurado,SVP voir Jury,يرجى مراجعة اللجنة
JuryNotification.PleaseEnterDecision,Waiting for decision,Esperando decisión,Décision attendue,في انتظار القرار
JuryNotification.Confirmed,Jury Confirmation,Confirmación del Jurado,Décision confirmée,تأكيد اللجنة
JuryNotification.Reversal,Jury REVERSAL,REVERSIÓN DEL Jurado,Décision RENVERSÉE,عكس قرار اللجنة
JuryNotification.CallTechnicalController,Technical Controller is called to Jury table,El controlador الفني هو المطلوب إلى طاولة اللجنة,Le contrôleur technique est demandé à la table du jury,استدعاء المراقب الفني إلى طاولة اللجنة
JuryNotification.GoodLift,{0}: Good Lift for {1} on attempt #{2},{0}: levantamiento válido para {1} en el intento n. ° {2},"{0}: Lever accepté pour {1}, essai #{1}",رفعة صحيحة لـ {1} في المحاولة رقم {2}
JuryNotification.BadLift,{0}: No Lift for {1} on attempt #{2},{0}: levantamiento nulo para {1} en el intento n.º {2},"{0}: Lever refusé pour {1}, essai #{1}",رفعة غير صحيحة لـ {1} في المحاولة رقم {2}
JuryNotification.LoadingError,Loading Error Decision Procedure,Procedimiento de decisión por error de carga,Procédure de décision en cas d'erreur de chargement,إجراء القرار في حالة خطأ التحميل
JuryNotification.Confirmed,Jury Confirmation,Confirmación del Jurado,Décision confirmée,تأكيد اللجنة
JuryNotification.Reversal,Jury REVERSAL,REVERSIÓN DEL Jurado,Décision RENVERSÉE,عكس قرار اللجنة
JuryNotification.CallTechnicalController,Technical Controller is called to Jury table,El controlador الفني هو المطلوب إلى طاولة اللجنة,Le contrôleur technique est demandé à la table du jury,استدعاء المراقب الفني إلى طاولة اللجنة
JuryNotification.GoodLift,{0}: Good Lift for {1} on attempt #{2},{0}: levantamiento válido para {1} en el intento n. ° {2},"{0}: Lever accepté pour {1}, essai #{1}",رفعة صحيحة لـ {1} في المحاولة رقم {2}
JuryNotification.BadLift,{0}: No Lift for {1} on attempt #{2},{0}: levantamiento nulo para {1} en el intento n.º {2},"{0}: Lever refusé pour {1}, essai #{1}",رفعة غير صحيحة لـ {1} في المحاولة رقم {2}
JuryDialog.NoCurrentAthlete,No Decision to Review,No hay decisión para revisar,Pas de décision à réviser,لا توجد قرارات للمراجعة
JuryDialog.ResumeCompetition,Resume Competition,Reanudar la competencia,Reprendre la compétition,استئناف المنافسة
JuryDialog.AllReferees,All,Todos,Tous,الجميع
JuryDialog.SummonRefereesLabel,Call Referee(s),Llamar Árbitro(s),Appeler arbitre(s),استدعاء الحكم
JuryDialog.BadLiftLabel,No Lift,Levantamiento NULO,Lever refusé,رفعة غير صحيحة
JuryDialog.GoodLiftLabel,Good Lift,Levantamiento VÁLIDO,Lever accepté,رفعة صحيحة
JuryDialog.LoadingErrorLabel,Signal Loading Error,Señal de error de carga,Signaler une erreur de chargement,إشارة خطأ التحميل
JuryDialog.LoadingError,Call Technical Controller,Lلامار إلى controlador الفني,Appeler le contrôleur technique,استدعاء المراقب الفني
JuryDialog.CallControllerLabel,Call Technical Controller,Llamar al controlador الفني,Appeler le contrôleur technique,استدعاء المراقب الفني
JuryDialog.CallController,Call Technical Controller,Llamار إلى controlador الفني,Appeler le contrôleur technique,استدعاء المراقب الفني
JuryDialog.RefGoodLift,Good Lift,Levantamiento VÁليدي,Lever accepté,رفعة صحيحة
JuryDialog.RefBadLift,No Lift,Levantamiento NULO,Lever refusé,رفعة غير صحيحة
JuryDialog.Accept,Confirm Decision,Decisión confirmada,Confirmer la décision,تأكيد القرار
JuryDialog.Reverse,Reverse Decision,Decisión revertida,Renverser la décision,عكس القرار
JuryDialog.NotLiftedYet,Athlete has not lifted yet.,El atleta aún لا يرفع.,L''athlète n''a pas encore levé
JuryDialog.START_DELIBERATION,Jury Deliberation,Deliberación del Jurado,Délibération du jury,تداول اللجنة
JuryDialog.TECHNICAL_PAUSE,Jury Technical Break,Pausa التقنية للجنة,Pause technique (Jury),استراحة فنية للجنة
JuryDialog.CALL_REFEREES,Referee Discussion,Discusión مع الحكم,Discussion avec arbitre(s),مناقشة مع الحكم
Scoreboard.Medals,Medal Ceremony,Ceremonia de Premiación,Remise de médailles,مراسم توزيع الميداليات
Scoreboard.NoMedalCategories,No medal results at this time.,Sin resultados de Medallas حالياً,Pas de classement de médailles en ce moment.,لا توجد نتائج ميداليات في الوقت الحالي.
Scoreboard.Group,Session,Tanda,Plateau,الجلسة
BreakMgmt.startIntro,Start Introduction,Comienza la presentación,Début de  la présentation,بدء التقديم
BreakMgmt.endIntro,End Introduction,Finaliza la presentación,Fin de la présentation,انتهاء التقديم
BreakMgmt.startMedals,Start Medal Ceremony,Comienza la ceremonia de premiación,Débuter la remise,بدء مراسم توزيع الميداليات
BreakMgmt.endMedals,End Medal Ceremony,Finaliza la ceremonia de premiación,Fin de la remise,انتهاء مراسم توزيع الميداليات
BreakMgmt.Ceremonies,Introduction and Medals,Presentación y Entrega de Medallas,Présentation et médailles,التقديم وتوزيع الميداليات
BreakMgmt.Countdowns,Countdowns and Breaks,Cuenta regresiva و descansos,Décomptes et pauses,العد التنازلي والاستراحات
BreakMgmt.IntroductionOfAthletes,Introduction of Athletes,Presentación de los Atletas,Présentation des athlètes,تقديم الرياضيين
BreakMgmt.IntroductionOfOfficials,Introduction of Officials,Presentación de los Oficiales Técnicos,Présentation des officiels,تقديم المسؤولين الفنيين
BreakMgmt.startOfficials,Start Officials,Inicio de los Oficiales Técnicos,Début Officiels,بدء المسؤولين الفنيين
BreakMgmt.endOfficials,End Officials,Final de los Oficiales Técnicos,Fin Officiels,انتهاء المسؤولين الفنيين
CeremonyType.OFFICIALS_INTRODUCTION,Introduction of Officials,Presentación de los Oficiales Técnicos,Présentation des officiels,تقديم المسؤولين الفنيين
Results.Medals,Medals,Medallas,Médailles,الميداليات
Competition.snatchCJTotalMedals,"Medals for snatch, clean&jerk, total","Medallas de Arranque, Envión y Total Olímpico.","Médailles pour arraché, épaulé-jeté, total",الميداليات للخطف، النطر والدفع، والإجمالي
DisplayParameters.PublicDisplay,Public Scoreboard,Marcador Público,Tableau public,لوحة النتائج العامة
DisplayParameters.WarmupDisplay,Warmup Scoreboard,Marcador Sala de Calentamiento,Salle de réchauffement,لوحة نتائج منطقة الإحماء
DisplayParameters.SwitchableSettings,Ceremony Settings,Ajustes de la Ceremonia,Paramètres de cérémonies,إعدادات الحفل
DisplayParameters.SwitchableHelper,Public scoreboards switch to medals during ceremony. Use Warmup to prevent switching.,"Las pantallas del ""Público"" cambian a ""Medallas"" durante la Ceremonia. Utilizar el de Calentamiento لتجنب التغيير.","Les tableaux publics affichent les médaillés durant la cérémonie. Chosir ""réchauffement"" pour éviter le changement d'affichage.",تتحول لوحات النتائج العامة إلى الميداليات خلال الحفل. استخدم لوحة الإحماء لتجنب التبديل.
Card.Signature,Signature,Firma,Signature,التوقيع
BreakType.MARSHAL,Marshal Issue,Problema del Marshal,Pause Marshal,مشكلة المراقب
Config.FeatureSwitchesTitle,Feature Toggles,Alterna las características,Fonctionalités sur demande,تبديل الميزات
Config.FeatureSwitchesLabel,Comma-separated list of option names to selectively enable features,Lista CSV de nombres de opciones para habilitar funciones de forma selectiva,Liste (séparée par des virgules) de fonctionalités activables sur demande,قائمة مفصولة بفواصل لأسماء الخيارات لتفعيل الميزات بشكل انتقائي
PlatesPerSide,(number of plates is for one side of the barbell),(el número de discos es para uno من الجوانب البار),(le nombre de disques est pour un côté de l'haltère),عدد الأقراص هو لجهة واحدة من البار
RuleViolation.liftedEarlier,"{0} kg denied: athlete {2} should already have lifted {0} before {1}<br>(same weight, but {2} had previous attempt before {1})",{0} kg denegados: el levantador {2} debería haber levantado {0} قبل {1}<br>(نفس الوزن، لكن {2} كانت لديها محاولة سابقة قبل {1}),{0} kg refusé: l'athlète {2} ne peut pas lever {0} après {1}<br> (même poids mais {2} avait son essai précédent avant {1}),تم رفض {0} كجم: كان يجب على الرياضي {2} رفع {0} قبل {1} (نفس الوزن، لكن {2} كانت لديها محاولة سابقة قبل {1})
DeleteConfirmation,Delete {0}?,Eliminar {0}?,Détruire {0}\u0020?,تأكيد الحذف {0}؟
TechnicalController1,Technical Controller 1,Controlador Técnico 1,Contrôleur Technique 1,المراقب الفني 1
TechnicalController2,Technical Controller 2,Controlador Técnico 2,Contrôleur Technique 2,المراقب الفني 2
Marshal1,Marshal 1,Marshal 1,Changements 1,المراقب 1
Marshal2,Marshal 2,Marshal 2,Changements 2,المراقب 2
Weighin1,Weigh-In 1,Oficial de pesaje 1,Pesée 1,المراقب 1
